sourceUserId,displayName,email,phone,sourceRole,platformRole,supplierKind,supplierType,publicName,organizationName,organizationType,contactPersonName,city,area,latitude,longitude,preferredCategory,learnerType,interests,skillLevel,description,learnerBio,profileImageUrl,accountStatus,verificationStatus,organizationVerificationStatus,sourcePoints,createdAt,materialOwnerEligible
1,أحمد بدوي,user1@impactloop.demo,+970568078673,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,أحمد بدوي,,,,سلفيت,كفل حارس,32.084008,35.191378,كتب دراسية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة كتب دراسية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A8%D8%AF%D9%88%D9%8A,ACTIVE,APPROVED,,57,2025-04-08,true
2,وليد دويكات,user2@impactloop.demo,+970594698379,منظمة شريكة,SUPPLIER,ORGANIZATION,FACTORY,مصنع المدار للمعادن والبلاستيك,مصنع المدار للمعادن والبلاستيك,FACTORY,وليد دويكات,القدس,القدس,31.771314,35.218093,مواد خام,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة مواد خام.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%88%D9%84%D9%8A%D8%AF%20%D8%AF%D9%88%D9%8A%D9%83%D8%A7%D8%AA,ACTIVE,APPROVED,VERIFIED,152,2025-01-25,true
3,باسل حداد,user3@impactloop.demo,+970562556017,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,ورشة الأمل للأثاث المستعمل,ورشة الأمل للأثاث المستعمل,WORKSHOP,باسل حداد,قلقيلية,الفندق,32.185331,34.960327,أثاث منزلي,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A8%D8%A7%D8%B3%D9%84%20%D8%AD%D8%AF%D8%A7%D8%AF,ACTIVE,APPROVED,VERIFIED,193,2025-06-20,true
4,رغد حمد الله,user4@impactloop.demo,+970565918715,طالب,LEARNER,,,,,,,طوباس,عين البيضا,32.32903,35.359455,مواد بناء متبقية,STUDENT,woodworking|home_diy|recycling,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة مواد بناء متبقية.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D8%BA%D8%AF%20%D8%AD%D9%85%D8%AF%20%D8%A7%D9%84%D9%84%D9%87,ACTIVE,,,305,2025-04-23,false
5,خالد سلامة,user5@impactloop.demo,+970562694522,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,تعاونية أهل الخير لتبادل المواد,تعاونية أهل الخير لتبادل المواد,WORKSHOP,خالد سلامة,قلقيلية,قلقيلية,32.185128,34.978259,أدوات مطبخ,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أدوات مطبخ.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%AE%D8%A7%D9%84%D8%AF%20%D8%B3%D9%84%D8%A7%D9%85%D8%A9,ACTIVE,APPROVED,VERIFIED,242,2025-11-27,true
6,جود خطيب,user6@impactloop.demo,+970563871230,طالب,LEARNER,,,,,,,رام الله والبيرة,عين قينيا,31.898624,35.212734,ملابس,STUDENT,fabric_textiles|art_crafts|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ملابس.,https://api.dicebear.com/9.x/initials/png?seed=%D8%AC%D9%88%D8%AF%20%D8%AE%D8%B7%D9%8A%D8%A8,ACTIVE,,,93,2025-08-13,false
7,نادين سلامة,user7@impactloop.demo,+970561538552,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,نادين سلامة,,,,القدس,أبو ديس,31.757721,35.220103,معدات رياضية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة معدات رياضية.,,https://api.dicebear.com/9.x/initials/png?seed=%D9%86%D8%A7%D8%AF%D9%8A%D9%86%20%D8%B3%D9%84%D8%A7%D9%85%D8%A9,ACTIVE,APPROVED,,147,2025-02-07,true
8,شهد الأغا,user8@impactloop.demo,+970593396987,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,شهد الأغا,,,,الخليل,الخليل,31.523714,35.107914,أجهزة إلكترونية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة أجهزة إلكترونية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%B4%D9%87%D8%AF%20%D8%A7%D9%84%D8%A3%D8%BA%D8%A7,ACTIVE,APPROVED,,136,2025-12-18,true
9,ديانا ياسين,user9@impactloop.demo,+970569548432,منظمة شريكة,SUPPLIER,ORGANIZATION,WORKSHOP,مركز البلسم لتوزيع الأثاث,مركز البلسم لتوزيع الأثاث,WORKSHOP,ديانا ياسين,أريحا,الجفتلك,31.865501,35.465629,أثاث منزلي,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة أثاث منزلي.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%AF%D9%8A%D8%A7%D9%86%D8%A7%20%D9%8A%D8%A7%D8%B3%D9%8A%D9%86,ACTIVE,APPROVED,VERIFIED,396,2025-01-28,true
10,زيد جرادات,user10@impactloop.demo,+970597402509,طالب,LEARNER,,,,,,,القدس,العيزرية,31.762212,35.222572,ألعاب أطفال,STUDENT,art_crafts|recycling,INTERMEDIATE,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ألعاب أطفال.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B2%D9%8A%D8%AF%20%D8%AC%D8%B1%D8%A7%D8%AF%D8%A7%D8%AA,ACTIVE,,,280,2025-05-18,false
11,حسن نزال,user11@impactloop.demo,+970592871534,متطوع,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,حسن نزال,,,,قلقيلية,قلقيلية,32.199284,34.981578,معدات رياضية,,,,متطوع مجتمعي يساهم في توفير ومشاركة المواد القابلة لإعادة الاستخدام، ويهتم بشكل خاص بفئة معدات رياضية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%AD%D8%B3%D9%86%20%D9%86%D8%B2%D8%A7%D9%84,ACTIVE,APPROVED,,90,2025-08-01,true
12,رزان رجوب,user12@impactloop.demo,+970599517169,طالب,LEARNER,,,,,,,طوباس,طوباس,32.317142,35.363015,ملابس,STUDENT,fabric_textiles|art_crafts|recycling,BEGINNER,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة ملابس.,https://api.dicebear.com/9.x/initials/png?seed=%D8%B1%D8%B2%D8%A7%D9%86%20%D8%B1%D8%AC%D9%88%D8%A8,ACTIVE,,,88,2025-06-25,false
13,تامر سلايمة,user13@impactloop.demo,+970591326765,مساهم مواد,SUPPLIER,INDIVIDUAL,INDIVIDUAL_SUPPLIER,تامر سلايمة,,,,نابلس,نابلس,32.22255,35.250593,مواد بناء متبقية,,,,مساهم مواد مجتمعي يعرض مواد فائضة قابلة لإعادة الاستخدام، مع اهتمام خاص بفئة مواد بناء متبقية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%AA%D8%A7%D9%85%D8%B1%20%D8%B3%D9%84%D8%A7%D9%8A%D9%85%D8%A9,ACTIVE,APPROVED,,459,2025-05-08,true
14,معاذ قنديل,user14@impactloop.demo,+970569937326,مستفيد,LEARNER,,,,,,,جنين,جبع,32.452693,35.296407,أجهزة إلكترونية,COMMUNITY_MEMBER,electronics|circuits|arduino,ADVANCED,,متعلم مهتم بمشاريع إعادة الاستخدام المرتبطة بفئة أجهزة إلكترونية.,https://api.dicebear.com/9.x/initials/png?seed=%D9%85%D8%B9%D8%A7%D8%B0%20%D9%82%D9%86%D8%AF%D9%8A%D9%84,ACTIVE,,,347,2025-08-18,false
15,إياد سلايمة,user15@impactloop.demo,+970566229731,منظمة شريكة,SUPPLIER,ORGANIZATION,FACTORY,مصنع البنيان للمواد الإنشائية الفائضة,مصنع البنيان للمواد الإنشائية الفائضة,FACTORY,إياد سلايمة,أريحا,الجفتلك,31.851334,35.471731,مواد بناء متبقية,,,,جهة شريكة في ImpactLoop تعمل على إعادة الاستخدام وتبادل المواد، مع اهتمام خاص بفئة مواد بناء متبقية.,,https://api.dicebear.com/9.x/initials/png?seed=%D8%A5%D9%8A%D8%A7%D8%AF%20%D8%B3%D9%84%D8%A7%D9%8A%D9%85%D8%A9,ACTIVE,APPROVED,VERIFIED,234,2025-09-15,true
